Nametag,Japanese,English
Sheila,クーガーさんの臭いがする‥‥‥。,This room... it smells like Doctor Cooger...
Cole,この部屋でドクの奥さんが、いつも俺にケーキをご馳走してくれたんだ。,"When she was alive, Doc's wife would serve us cake in this room."
Cole,かなり大きな振り子の時計だ。１２時を指しているが、数年前からこの時計は止まっているんだ。,"It's a huge grandfather clock. It's showing 12, but it stopped working ages ago."
Cole,ドクはこんな骨董品を集めるのが趣味だったからな。この時計はその中でも一番大きなものだろう。,Doc used to collect antiques in his spare time. This was probably his biggest piece.
Cole,あの振り子が動いていた頃もあったが、その時の時報は家の外まで聞こえるようなかなり大きな音だったと思ったな。,"The clock used to work, but back when it did, the ticking was so loud, you could hear it outside the house."
Cole,さすがにこの時計に<IF M>金庫の暗証番号が隠されているとは思えないな。<ELSE>は鍵を使うような所は一つもないようだ。<ENDIF>,"As expected, this clock <IF M>has a hidden compartment. I don't think the safe's lock is hidden.<ELSE>has a hidden compartment, but there's no place to put the key.<ENDIF>"
Cole,この机はあまり使われていないようだな。机の上にはホコリがつもっている。,"Judging by all the dust, this desk didn't get a lot of use."
Cole,机の上にはこれといって気になる物はないと思うが‥‥‥。,Nothing important on the desk.
Sheila,あの鍵が使われるような物はなさそうね。,Nothing seems to use that key.
Sheila,あの<IF M>暗証番号を書いたメモがこの机に入っているとか？,<IF M>Is there a note with the safe code on his desk?<ELSE>Is there a note or anything on his desk?
Cole,いや、ドクならそんな事はしないだろう。本当に大事な物なら、ドクは自分で暗記してしまうだろう。<OR>鍵はもしかして引き出しの鍵かもしれないわ。,"No, if there was a code, Doc would've memorized it.<OR>It could be a drawer key."
Cole,机の引き出しには鍵がついていないよ。それに、この鍵の形からして普通の鍵でなく磁気を使うものだろうな。<ENDIF>,I don't see a keyhole on the desk drawer. Also this lock uses magnets instead of tumblers like a regular key.<ENDIF>
Cole,机にはスタンドやノートが置いてあるだけで気になる物は何もないようだな。,Nothing important in the stand or the notebook on the desk.
Sheila,このノートは何かの計算式が書いてあるけど、私には何の事だかさっぱり判らないわ。,There's some formulas in the notebook but I have no idea what they mean.
