Nametag,Japanese,English
,男の声：よう、コール。,"Man's voice: Yo, Cole."
Cooger,ここのドアがわしらの部屋のようだな。\nSheila: 階段に一番近いと何だか不安だわ‥‥‥。,This is the door to our room.\nSheila: I'm worried that it's so close to the stairs.
Cooger,ここのドアがわしらの部屋のようだな。\nSheila: 階段に一番近いと何だか不安だわ‥‥‥。,This is the door to our room.\nSheila: I'm worried that it's so close to the stairs.
Cole,３階でも結構高いな‥‥‥落っこちたら間違いなく死ぬ高さだぞ。,"Even though it's the third floor, it's actually high up. You'd definitely die if you fell from here."
Sheila,あそこに見える川がニードル川ね。夜の川っていうのも何だか無気味よね。,That's the Needle River. It looks quite nice at night.
Cole,床の足跡が彼らのものだった事が判明したな。,It turns out that the footprints on the floor were theirs.
Cole,２２０号室‥‥‥ここが俺達の部屋だな。まさか造りかけなんて事はないだろうな。,Room 220... That's our room. Looks like it's safe.
Sheila,コール、早く中に入りましょうよ。\nCole: うん、そうだな。,"Cole, let's go quickly.\nCole: Yeah, agreed."
Cole,かなり広そうな感じだけど一体どんな部屋だろう。,It's a very spacious room.
Cole,ここにカードを通せばいいんだな。,You put the card in here.
Cole,このカードは無くさないように注意しないとな。ＩＤカードのスペアはとってあるのかな？,I have to be careful not to lose this card. Is there even a spare one around?
Cole,暗証番号は入れなくていいのか‥‥‥ホテル入り口の２１６番は覚えているけど俺、一度に２つの暗証番号なんて覚えきれないから良かったのかもしれないな。,"Fortuantely, I don't need a PIN. I remember 216 is for the hotel entrance, but it's hard to remember two passwords at once."
Cole,１から９までの数字とＩＤをスライドさせる装置がついているな。,There's a keypad with 1-9 and a slot for an ID card.
Sheila,ここにカードを通すと鍵が開くのね。,"This is how you open the door, when you slide the card in."
Cooger,おいおい、危ないよ。こんな所でそんな物騒な物を出さんでくれよ。,Hey this is dangerous. Should I have such a noisy thing in this place?
Cole,やっと銃を手に入れたからな。試し撃ちでもしてみるかな。,"Finally, I have a gun. I hope I don't have to use it."
Sheila,やめなさいよ、こんな所で撃ったら誰に当たるか判らないわ。,"No way, what if I hit someone unintentionally?"
Cole,使うったって‥‥‥どこに使えばいいんだ？　ここか？,Where should I use it? Here?
Sheila,コール、カードを壁にあててどうするつもり？,"Cole, why are you using that card on the wall?"
Cole,カードは持っているけど‥‥‥どこに使えばいいんだ？,"I have a card, but where should I use it?"
Cole,それじゃ、中へ入ろう。布団ぐらいあって欲しいな‥‥‥。,Let's go in. Maybe we can grab a futon.
Cole,ここで何か使うのは勿体ない気がするな‥‥‥。,I don't think I can use it here.
,銃　　<OR>ＩＤカード<OR>キャンセル,Gun<OR>ID Card<OR>Cancel
