Nametag,Japanese,English
Cole,あの女の死体はそのうち足がもげてしまうだろうな‥‥‥。,That woman's body is hanging there...
Cole,うっ‥‥‥あそこに吊るされているのはまさか死霊じゃないだろうな‥‥‥。,Oh... that's... that's not a zombie.
Cole,この箱には何が入っているんだ？,What's in this box?
Cooger,見たところ、普通の箱だが‥‥‥ちょっと調べてみるか。,"It looks like a normal box, but..."
Cooger,コール、この箱は釘が打ってあって開ける事ができないぞ。多分、工事の人が踏み台にでもして使っているんじゃないか？,"Cole, we can't open this box because it was nailed shut. Someone was maybe using it as a stepping stool?"
Cooger,この箱だけじゃなく、みんなただの箱のようだな。どれも何かをいれる為には使われていないようだ。,"And not just this box, but every one of them is nailed shut."
Cooger,コール、気をつけてくれよ。箱の陰に死霊が隠れているとも限らんからな。,"Cole, be careful. There might be zombies behind this box."
Cole,壁にはただ穴が空いているだけで窓はついていないようだな。電気もないから月の光だけが頼りだ。,"The wall has a hole but no window installed yet. There's no power either, so we have to go by moonlight."
Cole,２階とはいえ、かなり高いな‥‥‥。,"Although it's the second floor, it's quite expansive."
Cooger,コール、気をつけてくれよ‥‥‥。,"Cole, be careful."
Cooger,窓からの侵入はまず不可能だろう。死霊とはいえ壁を昇るとは思えんからな。,"I don't think anyone can get in through here. It's the second floor, but it's still high up."
Cole,ドク、あそこに吊るされているのは死霊か？,"Doc, is that a zombie hanging there?"
Cooger,いや、死霊だったら目の前に人間が現れたら動くはずだよ。それよりなんで宙吊りになんかなっているのかな。,"No, a zombie would have tried to move when we came in. I wonder why she's hanging here..."
Cole,死霊の奴等、まさかこの死体で遊んでいた訳じゃないだろうな。,I don't think this corpse was disturbed by zombies...
Cole,なんだか可哀想だな。死体でも宙吊りにされているなんて‥‥‥。下ろしてあげようか‥‥‥？,I feel bad for this poor woman. Should we take her body down...?
Cooger,コール、冷たいようだが死体はこのままにしておいた方がいいよ。下手に動くといつ死霊に襲われるか判らんからな。,"Cole, I don't want to sound cold-hearted but let's leave her. We might get attacked by zombies while we're trying to move her."
Cole,うん、それもそうだが‥‥‥。,"Yeah, good point..."
Cole,若い女の死体だな。腕がちぎれ落ちている所を見ると、かなり腐っているようだ。,The corpse of a young woman. The place where her arm was torn off seems to have rotted...
Cole,床には宙吊りにされた死体の血が溜まっているな。,The blood from that corpse has pooled here.
Cooger,もうかなり時間が経っているようだな。血が固まっているよ。,"The blood has dried, so she has been here for awhile."
Cole,この死体の血だけで、他にはこれといって気になる物はないな。,Nothing else interesting about the corpse's blood.
Cole,今度は別の部屋を調べてみるか‥‥‥。,I think it's time to check another room.
Cole,もう少しこの部屋で調べてみようか‥‥‥。,Let's keep investigating here.
,廊下に出る　<OR>キャンセル　,
