Nametag,Japanese,English
Cole,近くで見るとなかなか色っぽい人だ。話し方が妙に落ち着いてるな。きっと俺より年上だろう。,She's very pretty up close. She talks with a strange calmness. She must be older than I am.
Cole,普通、女の人は眼鏡をかけるとキツく見えるが、この人はそうでもないようだ。,"Usually, a woman with glasses looks stuck up, but not her."
Cole,この事件が起こる前は、きっとＯＬでもしていたのだろう。会社でキーボードを叩いている姿が想像できるな。,"Before this incident, I was just an office worker. I can just imagine tapping at the keyboard..."
Cole,なかなか大きいバストだな。サリーの彼が羨ましいなぁ‥‥‥。,Whoa. I'm jealous of Sally's boyfriend.
Cole,男だとどうしてもこんな所に目がいってしまうな‥‥‥。あまり見ているとシーラに悪いな。,"It's not good to stare... besides, I might upset Sheila."
Cole,サリーのバストもいいけど、やっぱ俺にはシーラが一番だな。,"I mean, nice looking, but Sheila's are best of all."
Cole,サリーはスタイルがいいなぁ。大人の色気を感じるよ。,Not a bad looker...
Cole,着ている物もなかなかいいセンスをしているな。結構オシャレな人なのかもしれない。,She's got very good fashion sense.
Cole,ああ、２階の死霊だろ。任せてくれ。,"Oh, a zombie on the second floor? Leave it to me."
Cole,部屋の数はこの階とおなじかい？,Is it the same number of rooms as this floor?
Cole,４体か‥‥‥結構楽かもしれないな。,Four bodies... doesn't sound too bad.
Cole,ああ、判ったよ。,"Ah, understood."
Cole,判ったよ、ありがとう。明日起きたら行ってみるよ‥‥‥。,"Thanks, I'll go when... *if* I wake up tomorrow."
Sheila,コール、どうだった？,"Cole, how are you feeling?"
Cole,ああ、なんとかいけるよ。西に３００メートルのところにデパートがあるそうだから、明日になったら食料でも調達しに行こう。,"I can manage it. Plus, there's a department store 300 meters west of here, so I'll go get food tomorrow."
Cooger,じゃ、コール。そろそろ行こうか。,"Well, Cole. Shall we go?"
Cole,ああ。じゃあシーラ、すぐ戻ってくるから待っててくれよ。,"Sheila, wait for us. We'll be back soon."
Sheila,二人とも気を付けてね‥‥‥。,"Be careful, both of you."
,Sally: コール、早速だけど仕事よ。,"Sally: Cole, let's get started."
,Sally: まずあなたにやってもらうのは‥‥‥,Sally: The first thing you want to do...
,Sally: あっ、知ってたの？　だったら話は早いわね。いい？　２階はまだ工事が終わっていないの、だから死霊がどこに隠れているか判らないわ。十分注意してね。,"Sally: Oh, you already know that part? Good, this will go fast. The second floor is still under construction so it's hard to know where the zombies will be lurking. Please use caution."
,Sally: ううん、全部で５部屋よ。ここよりずっと少ないわ。一応、確認されている死霊は４体いるわ。,"Sally: Actually, only five rooms, so it's not as big as this floor. There are four confirmed zombies."
,Sally: だけど、必ず全部の死霊を殺ってから戻ってきてね。このホテルを拠点にするためには１体の死霊もいてはいけないの。いい？　一体も残さないで戻るのよ。,"Sally: Make sure you get them all. In order to secure this shelter, there can't be any zombies around. If you leave one, you'll have to go back."
,Sally: 戻ってきたら今日は休んでいいわ。それと明日は食料なんかを仕入れてきた方がいいわね。このホテルから西へ３００メートル程行った所にデパートがあるわ。,"Sally: You'll get well-deserved rest after this. Then tomorrow, there's a store 300m west of here. I can go get food tomorrow."
,Sally: じゃ、コール、くれぐれも気をつけてね。,"Sally: Alright. Please be careful, Cole."
