Nametag,Japanese,English
,　男　：いや、俺はそんなものには入っていないよ。しかし、死霊退治にしては結構ヤバそうだったけどそれも作戦の内かい？,
,　男　：ははは‥‥‥なんてね、ジョークだよ。俺はケインだ、よろしくな。,
Cole,助かったよ、ありがとう‥‥‥。俺はコール‥‥‥あなたも死霊退治のメンバーかい？,Thank you so much. I'm Cole. Are you also a member of the zombie killing squad?
Cole,助かったよ、ありがとう‥‥‥。俺はコール‥‥‥あなたも死霊退治のメンバーかい？,Thank you so much. I'm Cole. Are you also a member of the zombie killing squad?
Cole,ケインは俺の話を信じてくれたようだ。俺だってまさかドクがそんな酷い奴だとは思いたくないからな。,Seems like Cain believed me. I don't want Doc remembered for causing all this.
Cole,見たところ死霊じゃないらしい。そりゃそうだ、俺を助けてくれたんだもんな。,Apparently not a zombie. He helped me.
Cole,ケインは死霊退治のメンバーじゃないのか‥‥‥。でもどうしてこのホテルに入ってきたんだろう？,You're not a member of the zombie killing squad? How did you get to this hotel?
Cole,たまたま通り掛かって‥‥‥それとも俺達がいる事を知ってて‥‥‥。,It was lying in wait... or somehow knew I was here...
Cole,でも、どうしてこのホテルに入ってこれたんだ？　入り口はオートロックがかかっていた筈だろ？,But how'd you get in? There's a password on the door.
Cole,ジャーナリストか‥‥‥じゃ、この事件を取材にこの街へ？,Are you a journalist?
Cole,なんだって！？　奴等、もう隣街まで進出しているのか！？,"Wait, what? They've already spread that far?"
Cole,そ、そんな馬鹿な！？　暇さえあればテレビばかり見ている俺でも、そんなニュースは１つも見てないよ！,T-That's crazy! I watch a lot of TV and I never heard anything about this!
Cole,〔そんな‥‥‥だってドクはあの薬を人間に使ったのは今日が初めてだぜ？　まさかそれ以前に死霊が現れるなんて事は絶対に考えられないよ‥‥‥〕,(But Doc just used the drug on humans tonight... there's no way zombies could've been around prior to that...) 
Cole,ケインは一番最初にどこで死霊を見たんだい？,Where did you first see a zombie?
Cole,ケイン、君に話しておきたい事があるんだが‥‥‥。,"Cain, let's talk for a second."
Cole,実はこの階の１０５号室で、俺の友達のクーガーという科学者がつい先程死んでしまった。彼は数時間前に俺に試作品の蘇生薬を見せてくれたんだ。,That body you saw in Room 105 is my friend Doc Cooger. He invented a prototype resurrection drug.
Cole,いや、聞いてくれ。その蘇生薬を誤って一人のポリスに打ってしまった。そのポリスはじきに死霊になってしまった。俺達はやっとの思いでそのポリスから逃げ切った‥‥‥。,"No, listen. The drug was accidentally used on a police officer. The police got zombified and we ran!"
Cole,今まで小動物の実験をしていた彼は、蘇生薬を打つと数分後には絶命する事を知っていた。だから死霊になってしまったポリスもどこかでくたばっていると思われた。,He'd only experimented with small animals before and knew it could work on humans. So the police being zombies must've started from that.
Cole,ああ、俺達は表に出てビックリしたさ。街中が死霊だらけだもんな。あの薬はヴィールスだって言ってたよ。それであのポリスが人々を襲ったと考えたんだ。,Oh. We were shocked to see that. We figured it spread because the drug works like a virus and that the policeman was the first one.
Cole,だけど彼はその試作品と言われる蘇生薬を見せた一人目が俺だと言ってた。クーガーはその薬を完成させたら学会で正式に発表すると考えていたんだよ。,But Doc said I was the first person to ever see the resurrection drug. He was going to announce it a conference if it proved successful.
Cole,クーガーは昔から嘘をついた事はなかったよ。ポリスを死霊にしてしまった時だって、彼は自首すると言っていたし‥‥‥。,"Doc is many things, but he's not a liar. Even when the officer came back, he felt terrible about it..."
Cole,それに、もしクーガーが人間をサンプルに実験していたというなら、死霊の弱点を知っていた筈だ。彼より先に弱点を知ったのは俺だからな。,"And if Doc were experimenting on humans, he'd have known their weakness. But he didn't. I had to tell him after I discovered it."
Cole,いや‥‥‥別に気になるような事は何もなかったと思うが‥‥‥。,No... I don't think there's anything else I'm not thinking of.
Cole,俺とシーラだけだよ。彼女は街で死霊に追いかけられて俺のアパートに逃げて来たんだよ。３人だけだな‥‥‥。,Only Sheila and I. She got chased by a zombie and fled to my apartment. Just us three.
Cole,ああ、まだ話してないよ。中には恋人が死霊になってしまった姿を見て酷く落ち込んだ奴もいるからね。ドクが責められるのを黙って見てる訳にはいかないし‥‥‥。,"No, not yet. One guy upstairs is depressed that his girlfriend turned. I don't want people to know Doc caused this."
Cole,ああ‥‥‥判った。,Oh... I see.
Cole,ケインか‥‥‥性格が少し俺に似ているな‥‥‥。,"It's Cain. He reminds me of myself, somehow."
Cole,さあ、シーラが待っているから部屋に戻ろう。ドクの事を何と説明しようか‥‥‥。,"Well, Sheila is waiting for me. What do I tell her about Doc?"
,Cain: フ‥‥‥こんなホテルに入る事なんて朝飯前だよ。俺は隣街でジャーナリストをやっているんだ。フォーカスのためならどんな場所だって潜り込めるさ。,"Cain: Phew... well, I'm a journalist. I thought it was a great idea to enter the hotel. You never know where to get a scoop."
,Cain: そのつもりだったんだが、いきなり奴等が増えだしてね。会社どころか俺の家族まで‥‥‥。,"Cain: I was going to do that, but the number of zombies kept multiplying. Not just at my company, but my family too."
,Cain: もう‥‥って、ラジオやニュースで聞かなかったのかい？１ヶ月程前には俺の街は奴等に完全に破壊されてしまっていたよ。,"Cain: Didn't you hear about it on the news? A month ago, my whole city was destroyed by them."
,Cain: なんだって！？‥‥‥新聞や雑誌にだって書かれていたろ！？　それに俺は、てっきりこの街はパニックに陥ってると思って、皆で避難している頃だと思っていたよ。,Cain: What?! It was published in newspapers and magazines! I thought for sure this city would be evacuated!!!
,Cain: ‥‥‥自宅だよ。家族で妹の誕生パーティを楽しく過ごしている時に死霊に襲われた。家族の皆が幸せを誓い合っていた時だ‥‥‥一瞬でリビングが血の海になった。,"Cain: ...At home. I was at my sister's birthday party, having fun. Our family happiness... became a sea of blood."
,Cain: 俺は何十体もの死霊に家族が喰われていくのを見ながら逃げ出したんだ。どうする事もできなかった自分自身に嫌気がさした‥‥‥そして決心したんだ。,Cain: I escaped but my big family was eaten by zombies. I hated that I couldn't help them. So I resolved...
,Cain: こんな殺人鬼を造った奴を必ず殺すと‥‥‥。,Cain: ...To kill whoever caused such monsters!
,Cain: 何だよ、改まって‥‥‥？,Cain: What? What are you doing?
,Cain: 蘇生薬！？　‥‥‥じゃ、奴等を造り俺の全てを奪ったのがそのクーガーっていう男なのか！？,Cain: Resurrection Drug? ...So this Doc Cooger is the one who caused my family to get killed?!
,Cain: 死霊が絶命する！？　奴等は増える一方だぜ？,Cain: The zombies are dead? They aren't multiplying?!
,Cain: ちょっと待てよ、もしクーガーっていう科学者がコールに嘘を言って、小動物だけではなく以前に死霊を造っていたと考えたら‥‥‥。そうだ、人目を避けるために俺のいた街で‥‥‥。,Cain: Could your Doctor Cooger have lied about only experimenting on animals? He might've experimented on people in my city.
,Cain: なるほどな‥‥‥。まぁクーガーが何か企んでいたとすれば、こんな所で死ぬ筈がないと思うがね。,"Cain: Well, I guess if he were behind this, dying here wouldn't have been part of the plan."
,Cain: もっと調べてみない事には何とも言えないが‥‥‥。それと、最近クーガーに何か変わった事とかなかったかい？　急にソワソワしたり、誰かを避けていたり‥‥‥,Cain: I can't say more without further investigation. Was Cooger acting weird? Was he talking with someone about the drug?
,Cain: そうか‥‥‥。,Cain: That so?
,Cain: 蘇生薬を作ったのがクーガーだと知っているのは俺の他に何人いるんだ？,Cain: How many people besides Doctor Cooger could make a resurrection drug?
,Cain: 死霊退治のメンバーには話してないのかい？,Cain: Tell me about the rest of the zombie killing squad?
,Cain: そうか‥‥‥あの薬の事は誰にも言わない方がいいな。もう少しハッキリしてからの方が下手な混乱を招かなくていいだろう。,
,Cain: コールの話を聞いてかなり参考になったよ。もう少し調べてみたい事があるから、今日はこれで失礼するよ。何か判ったらすぐコールに知らせるからな。,"Cain: Thanks for the info, Cole, it was really helpful. When I learn more, I'll let you know."
