Nametag,Japanese,English
,Cain: 久しぶりの雨だが、酸性雨か‥‥‥この雨は肌がピリピリするな。,Cain: It's been a long time since it rained like this. Isn't it acidic?
,Cain: 今日はかなり強力な情報を入手したからな‥‥‥コールに話したら、さぞビックリするだろう‥‥‥。,Cain: Got a lot of good info today. I wonder if I can trade notes with that Cole guy again.
,Cain: あのホテルは確かこっちの方角だったと思うが‥‥‥。,Cain: I think the hotel was over this way....
,Cain: ん！？　こんな所にマーケットがあるな‥‥‥丁度いい、何か仕入れていくか。,"Cain: Oh, there's a market here. I wonder if there's good stuff left to pick up."
,Cain: このマーケットはチェーン店のようだな。同じ看板を俺のいた街でも見たことがある。,Cain: This market is a chain store. I've seen this sign back in my old city as well.
,Cain: いまいちパッとしないネーミングだ‥‥‥。だがチェーン店というぐらいだから結構儲けていたのだろう。,"Cain: The name sucks, but since it's a chain, I guess they're doing "
,Cain: さすがに従業員はいないようだ‥‥‥マーケット自体が死んでしまっているようだな。,Cain: Looks like no one's working... The place looks like it's dead.
,Cain: 死霊が侵入したのだろう‥‥‥ガラスが割れまくっている。ドアの入り方もしらない奴がいるなんてつい最近まで思ってもみなかった事だが‥‥‥。,Cain: Looks like a zombie has been here - the window's broken in. I guess they don't use the door.
,Cain: 奴等にとっては、これが一番手っ取り早いのだろう。,Cain: I guess it's the fastest way in.
,Cain: 表には死霊の姿がない‥‥‥。もしかしたらこの中に隠れているかもしれないな。,Cain: I don't see any zombies there. Maybe they left?
,Cain: 十分気を付けて行動しないといけないようだな。,Cain: Gotta be careful.
,Cain: これだけ割れまくっていると、どこが出入り口なんだか判らないな。,"Cain: With so much rubble, it's hard to see where the door is."
,Cain: マーケットの裏のビルは何かの会社だろうか‥‥‥。あのビルは俺にとってあまり興味がないな。,Cain: What company is that behind the market? Doesn't seem relevant to me.
,Cain: ここら辺はオフィス街なのだろう。たくさんの会社のビルが方々に建っている。,Cain: This is probably an office district. A lot of commercial buildings around.
,Cain: この柱まではさすがの死霊でもビクともしないようだ。もし、これだけの柱を壊せる奴等だったら、昨日のコールは完全に殺られていただろう。,"Cain: This pillar survived the zombie onslaught. If they could destroy pillars like this, Cole would've been killed yesterday."
,Cain: これだけの高い建物を支えている柱だけあって、とても頑丈に出来ているようだ。,Cain: This looks pretty sturdy - only the pillars are supporting this big building.
,Cain: 最近はよくあんなゴミ箱にペットが捨てられているのを見るが、そんな事をする飼い主の顔を見てやりたいぜ。一度決めたのなら最後まで面倒をみてやればいいのにさ。,"Cain: There's a horrible trend where people are throwing pets into the trash. I wish I could see the faces of the people who do that. Once you agree to take care of something, it's your responsibility until the end."
,Cain: 俺はこの事を前に記事にした事があるが、あまり感情的になってしまったお陰で読者から非難の声を浴びた事があったな。,"Cain: I've written about it before, but people wrote in and said I was being too emotional."
,Cain: あんなゴミ箱なんかを捜すより、正面のデパートへ入った方が早いな。,Cain: It's faster to enter the front of the department store than to do it using a trash can.
,Cain: 雨はかなりの量で降っているため、地面には水たまりがいくつもできている。,"Cain: Because of all the rain, there's a lot of puddles on the ground."
,Cain: 雨の音を聞きながら地面に流れる様子を見ていると、何故か母親に抱かれていた小さい頃の自分を思い出してしまう。,Cain: The sound of the rain and watching it fall down reminds me of being a child.
,Cain: たしか、この系列の店には色々な武器も扱っていたな。,"Cain: Fortunately, this store also sells a variety of weapons."
,Cain: 銃の一つでもあれば助かるな‥‥‥。,"Cain: Even if they have one gun left, that would be a help."
,Cain: だけど、このまま雨に濡れていてもビショビショになるな‥‥‥。,"Cain: Even if I get wet in the rain, I won't become bitter."
,マーケットに入る<OR>　キャンセル　,
