Nametag,Japanese,English
Cole,ここがアシスト病院か‥‥‥まるで廃墟だな。随分と静かだが、本当に皆はここに来ているのかな。,This is a ruined hospital. It's really quiet; did everyone really come here?
Cole,赤十字のマークが無気味に光っている。まるで俺が来るのを待ち受けていた様子だ。,"The red cross glows eerily, it's like they were waiting for me to come."
Cole,このマークを見れば、ここが病院だという事が一目で判るな。,"If you look too quickly, you might not be able to tell that it's a hospital."
Cole,ずいぶんと静かだが、本当にこの病院でいいのかな‥‥‥。川沿いの病院というのはここしかない筈だから、ここに間違いないと思うが‥‥‥。,"It's really quiet, is this definitely the right hospital? It's the only one by the river, so I guess it must be."
Cole,なんか薄気味悪い所だな‥‥‥こんな病院だったら何が出たっておかしくないぞ。,It's really creepy. What a strange hospital.
Cole,やけに静かだな‥‥‥メンバーの皆は本当にこの病院にいるのかな。,It's so quiet. Did the others really come here?
Cole,１階のガラスが割れまくっているな。病院の中を覗いてみたが、電気がついていないから良く見えない。直に入ってみた方がよさそうだな。,The glass on the first floor is broken. I can't see anything from out here because it's too dark. Better to just go in.
Cole,ここから一斉に死霊が出てきたら、流石の俺でも腰を抜かすかもしれない。,"If the zombies all swarm out of here, at least I'd know what's going on."
Cole,これだけガラスが割れていると、どこからでも入れるな。下手に鍵がかかってるよりはずっとマシだ。,The broken glass makes it dangerous to enter. It's better than a bad lock!
Cole,この病院は二階建てか‥‥‥。普通の病院だったら二階から上が病室になっているんだよな。,Is it only two stoires? I think most hospitals have the patients above the first floor.
Cole,二階は電気がついているようだな‥‥‥。メンバーの皆はもっと派手にやってるかと思ったけど、意外とそうでもないみたいだな。,"The second floor seems like it still has electrictiy. The other members thought it was fortified, but that doesn't seem to be the case."
Cole,ノーズなんかがバズーカをブッ放している姿を想像していたんだが‥‥‥あてが外れたみたいだな。,"I was imagining Nose clearing out zombies with a bazooka, but I guess that's silly."
Cole,２階にもまだ死霊が潜んでいるかもしれないな。,There might still be zombies on the second floor.
Cole,かなり静かだが、皆はこの中にいるのかな。,It's pretty quiet. Is everyone else here?
Cole,かなり静かだが、皆はこの中にいるのかな。,It's pretty quiet. Is everyone else here?
Cole,かなり静かだが、皆はこの中にいるのかな。,It's pretty quiet. Is everyone else here?
Cole,かなり静かだが、皆はこの中にいるのかな。,It's pretty quiet. Is everyone else here?
