Nametag,Japanese,English
,男の声：動くな！！　動いたら撃つぞ！！,Man's voice: Don't move or I'll shoot!
,男の声：動くな！　お前ら、人間か？,Man's Voice: Freeze! Are you zombies or regular humans?
,　男　：なんだ、生き残りか。奴等がここまで上がってきたのかと思ったぜ。,
,　男　：俺は一応刑事だが、あんまり犯人を殺してしまうんでね。それでキールっていうあだ名をつけられたよ。まったく頭に来るぜ！,
Cole,ドク、気を付けろ‥‥‥。,Doc... be careful.
Cooger,大丈夫だ、何もいないよ。\nSheila: なんだか無気味な廊下ね‥‥‥早く明るくならないかしら。,It looks safe... for now.\nSheila: It's such a spooky corridor.
Cole,な、何だ？　誰が言ってるんだ？\nCooger: 後ろだ！！,What is it? Who's speaking?\nCooger: Behind you!
Cole,ああ、そうだ。ここは避難場所に使われていると知って来たんだ。,"Ah, yes. I knew this was a shelter."
Sheila,あの‥‥‥あなたは？,Is that... you?
Cole,刑事！？　もしかして１６分署の？,Detective? Of the 16th Precinct?
Killer,ああ、そうだが‥‥‥とにかく、こんな所で突っ立ってても仕方ない。他の仲間の所へ行こうか。,Yeah. We had to retreat to this place.
Cole,やっぱりみんなここへ避難してきたんですか？,Did they all end up evacuating here?
Killer,みんなというより‥‥‥街の殆どの人間は奴等の餌食になった。ここに残っているのは俺も含めて６人だけだ。,"Well, not everyone. Most people in the city became their prey. There's only six of us remaining."
Killer,はやく来い、この部屋だ。,"Come with me. This room, here."
Cole,床にはかすかだが足跡が残っている。血痕が無いところを見ると、ここで襲われた人はいないらしい。あとは部屋か‥‥‥。,"There's a faint footprint on the floor, but no blood. No one was attacked here. Beyond that, just rooms."
Sheila,この足跡の数は一人だけのものじゃないようね。大きい足の人から小さい女の人の足跡まであるみたい。,"There's a lot of foot prints, so multiple people were in here. A big person, a small woman..."
Cole,床には足跡以外に気になる物はない。,"Nothing interesting here, just the footprints..."
Cole,月の光に廊下が照らされていて無気味な感じだ。いつ死霊が現れてもおかしくないな。,The hallway is illuminated by the moonlight. It's eerie. I wouldn't be surprised if a zombie attacked.
Cole,このガラスも１階と同じ防弾ガラスを使っているようだ。これならゲリラに狙われても安心だな。,It's the same bulletproof glass as the first floor. I guess it can withstand a terrorist attack.
Cole,ここから外を見下ろすとニードル川が見える。子供の頃はよくあの川で遊んだ覚えがあるな。,"Looking down, I can see the Needle River. I remember playing by it when I was a child."
Sheila,随分と頑丈そうなドアね。大統領が来た時には二人の兵がドアを守るらしいわ。,A door that seems to be quite sturdy. It seems that two soldiers guard the door when the president comes.
Cole,全部で２０部屋か‥‥‥どう考えても第二のホワイトハウスにしては勿体無さすぎるぜ。,Looks like twenty rooms altogether. It's too big to be considered a second White House.
Cole,どこがどんな部屋なのかは入ってみないと判らないが、中に死霊がいる可能性は大きいな。,"I don't know what's in these rooms, but there's a good chance there's a zombie behind one of them."
Cooger,これは部屋を開けるための鍵だろう。ここにカードを通して暗証番号を入れれば鍵が開く仕組みになっておる。,This is how you enter the rooms. You put a PIN and a card here and the mechanism opens the lock.
Cole,ＩＤカードを持っていないと開ける事ができないのか‥‥‥。,Can it be opened without an ID card?
