Nametag,Japanese,English
Cole,あ、どうも‥‥‥。,"Ah, thanks."
Cole,あっ、シーラ達は先に行っててくれないか、話が終わったら戻るから。\nSheila: うん、判った。,"Sheila, why don't you go to the room? I'll catch up.\nSheila: Okay."
Cole,えっと‥‥‥\n<C523280F>Nose: あ、俺ノーズって呼んでくれよ。実はレイの事なんだけどさ、許してやってくれないか？,"Oh... \n<C523280F>Nose: Oh, call me 'Nose'. It's about Ray..."
Cole,え、でも‥‥‥。,"Um, but..."
Cole,そうだったんだ‥‥‥。でもどうしてそれが彼女だと？　死霊は原形を留めてないものばかりじゃ‥‥‥,"Oh, I see. But why her? Zombies... they don't look like humans."
Cole,俺がレイを慰めるなんていうのはゴメンだぜ？,Isn't it good to help Ray?
Cole,判ったよ、２階の死霊は俺に任せてくれ。,"Okay, leave the zombies on the second floor to me."
Cole,ああ。<OR>Cole: さっきも見たけど、かなり２階はきびしいよ。,Ah.<OR>Cole: I saw it earlier - the second floor's in bad shape.
Cole,ああ、判ったよ。そこまで言うのなら２階の死霊は俺に任せてくれ。,"Ok, I see. In that case, leave the second floor to me."
Cole,ああ。<ENDIF>,Ah.<ENDIF>
Cole,あ、シーラの事か。まぁ、そんな所だけど‥‥‥？,"Oh, about Sheila. Is she ok here?"
Cole,ああ、別に構わないよ。だけど取ったら撃つよ。,"Okay, if I need to shoot it, I will."
Cole,あははは。でも２階の仕事は貸しだからな。,"Hahaha, ok, but the second floor is to repay our debt."
Cole,必ずだよ、楽しみにしてるからね。,Definitely. Looking forward to it.
Cole,ノーズか‥‥‥身体の割になかなかいい奴だな。,"Nose seemed pretty imposing, but he's actually a good guy."
,Nose: あ、俺ノーズって呼んでくれよ。実はレイの事なんだけどさ、許してやってくれないか？,"Nose: Ah, you can call me nose. Sorry to impose, it's about Ray."
,Nose: 実はまだ２階に死霊が何体かいるんだけど、その中に奴の彼女がまざってるんだよ。あいつそれ見てすごくショックだったらしくて、八つ当たりっていうやつか。,Nose: There's still zombies on the second floor. It's shocking and there may be as many as eight.
,Nose: その彼女っていうのが、レイが贈ったロケットをいつも首から下げてたらしくてね。それでなくとも面影のある死霊が首からロケットなんて下げてたら‥‥‥な、判るだろ？,"Nose: So, Ray's girlfriend has a locket he gave her. And when he was down there, one of the zombies had that locket."
,Nose: 昨日俺とレイで２階の死霊を退治する時に１発目でそいつが出ちゃって、その後のレイの奴っていったら誰にでも反発してるんだよ。そこで頼みがあるんだが‥‥‥,"Nose: Yesterday, when Ray and I were down there, that zombie came out when we shot. So, I have a request..."
,Nose: あははは、そんな事は頼まないよ。いや、ただね、そのために２階の死霊を１匹も片付ける事ができなかったんだ。だからコールに２階を頼みたいんだが‥‥‥どうだ？　やってくれるか？,"Nose: Haha, no no, not just that. I just meant that's why we weren't able to do it. I'm sorry it fell to you. Are you okay with this, Cole?"
,Nose: サンキュー、助かったよ。俺もレイの事を思うとトリガーが引けなくてな‥‥‥。ボスには俺から言っておくから、詳しい説明は後でサリーから聞いてくれ。,"Nose: Thank you, thank you. I'll tell the boss that we talked but Sally will be by later."
,Nose: 本当は俺が行かないといけないんだが、どうもレイの事を思うと可哀想でトリガーが引けなくてな。な、頼むよコール。レイを助けると思ってやってくれよ。,"Nose: Actually, I have to go. Whenever I think about Ray, it's like I get too sad to shoot zombies. Thank you much for this Cole. Please do it to help Ray."
,Nose: 悪いな。ボスには俺から言っておくから、詳しい説明は後でサリーから聞いてくれ。,"Nose: That's bad. I'll tell the boss myself, but Sally will be by later for more details."
,Nose: ところでさっきの娘はコールのコレか？,"Nose: By the way, you're a lucky guy. Your girlfriend..."
,Nose: なかなか可愛いじゃないか、今度紹介してくれよ。,Nose: She's really cute!
,Nose: わはははは、コールって恐い奴だなぁ‥‥‥。,"Nose: Hahaha, you know when you came in, I thought you were a scary guy!"
,Nose: ああ、いいさ。ゴールデンボーイのビッグドッグでもおごるよ。,"Nose: Well, as the old saying goes, a golden boy's big dog will pay off."
,引き受ける　<OR>引き受けない,Do it<OR>Don't do it
