Nametag,Japanese,English
Cole,なんだ、もっと豪華な造りかと思ってたけど‥‥‥これじゃ俺の部屋とそんなに変わらないな。,"I was thinking it'd be more luxurious, but this room isn't so different from ours."
Cole,なんだ、もっと豪華な造りかと思ってたけど‥‥‥これじゃ俺の部屋とそんなに変わらないな。,"I was thinking it'd be more luxurious, but this room isn't so different from ours."
Sheila,あっ、きっとサリーさんだわ。,"Hm, must be Sally."
Cole,うん、ちょっと行ってくるよ。,Yeah.
Cole,俺が死霊退治の仲間に加わったので、かなり心配している様子だ。,I'm pretty worried since I joined a zombie-killing team.
Cole,俺はいつもこいつに心配ばかりかけているよな。そういえば最近二人で遊びに行かなくなったよな。,"I guess I'm over-worried about this guy. Come to think of it, I've only been hanging out with two people."
Cole,とにかく死霊を全滅させないことには、シーラと遊びに行くことさえ出来ないんだ。シーラのためにも俺が頑張らないといけないな。,"If I don't get rid of these zombies, I can't spend time with Sheila. I've got to do this for Sheila."
Cole,たしかこの服はこいつの誕生日に買ってやったものだったな。あの時のシーラの笑顔は未だに覚えているな。,I bought that outfit for Sheila. I remember her smile when she got it.
Cole,この服を買ってからもう半年は経つのに、未だに大切に着てくれてるのは結構嬉しいモンだな。,"It's been six months since I bought that dress, but she's stil happy with it."
Cole,シーラにこの服をプレゼントした代わりに俺の誕生日にはジーンズをくれたっけ。,"I wanted new jeans for my birthday, but instead I spent the money on Sheila's dress."
Cole,ドクがボディガード役をやってくれるといくらか心強いな。,It's reassuring to have Doc watching my back.
Cole,２階の階段で、もし引き返していたら署長やあの５人に会えなかっただろうな。これもみんなドクのお陰だな。,"If I turned back on the stairs on the second floor, I wouldn't have met the chief or those five. This is all thanks to Doc."
Cole,もし俺が蘇生薬を発明したドクの立場だったら、多分同じ結果になっていただろう。いや、もっと酷くなっていたかもしれなかったな。,"If I had invented a resurrection drug instead of Doc, I'd probably be in the same position. No, maybe even a worse one."
Cole,ドクはさっきより少し調子を戻したようだ。いつまでも落ち込んでいたのでは、こっちもやり辛くなってしまうしな。,"Doc's demeanor seems to have improved in general. If I had been depressed as long as he has been, this would be difficult to do."
Cole,たしかこの刀はムラマサとかいったな。この刀があったらどんな奴がきたって安心だ。,The sword is kind of like Muramasa. It gives me peace of mind to know he has that sword.
Cole,結構ドクが刀を構えると似合っているな。,Doc looks good with that sword.
Cole,シーラ、勝手に死霊退治のメンバーに参加しちゃったけど、このまま逃げ回っていてもいつかは殺られてしまうと思ったからなんだよ。,"Sheila, I promised to exterminate the zombies. But I'll get killed if I do this too long."
Cole,それに見たところ、このホテルは防弾処理がしてあるから俺の部屋なんかよりずっと安全だし、仲間もいるしね。,This hotel's bulletproof glass makes it a lot safer than my apartment.
Sheila,うん、判ってるわ。だけど私が一番心配なのはコール、あなたなの。もしあなたの身に何かあったら私‥‥‥,"I understand. But I'm most worried about you, Cole. If something were to happen to you..."
Cole,大丈夫だよ。そんなに無茶な事はしないさ。それに死霊の弱点も判った事だし、俺にはコレがあるからね。,"It's okay. I won't be reckless. Plus, I know the zombie's weak point, and I've got this gun."
Sheila,本当は私も行きたいけど、足手まといになるって判ってるから‥‥‥。,"I want to come with you, but I know I'd just get in the way."
Cole,ありがとう。でも絶対に部屋から出るんじゃないぞ。２階の奴等がいつここへ上がってくるか判らないからな。,"Thanks, but whatever you do, don't leave the room. I don't know what'll happen if the 2nd floor zombies come up."
Sheila,そういえば、さっきの人と何を話していたの？　何か恐そうな人だったけど‥‥‥。,"Speaking of which, what did you talk about with that person? He seemed suspicious..."
Cole,ああ、ノーズの事か。ミーティングルームでレイって奴がチャチャ入れてただろう？,"Oh that's Nose. He was in the meeting room, wasn't he?"
Cooger,ああ、あの足を投げ出して署長に文句言ってた奴か。,He had his feet up and was mouthing off to the Chief.
Cole,うん、実はレイとノーズで２階の死霊を退治していた時に、死霊の中にレイの恋人がいたそうなんだ。レイの贈ったペンダントをその死霊がつけていたらしくて‥‥‥,"Yeah, actually the zombie I killed on the second floor was one that Ray and Nose fought. It was Ray's girlfriend and she still had the pendant he had given her..."
Cole,それでレイはえらく落ち込んでしまったんだよ‥‥‥。,So Ray was really depressed.
Sheila,かわいそう‥‥‥。,That poor guy.
Cole,それでみんなに当たってるみたいなんだ。まぁ、たしかに気持ちは判らない事はないんだけどね。それでノーズが許してやってくれって俺に言ってきたんだよ。,Everyone's getting affected by this. It's hard to know how to feel. So I think that's why Nose wants me to do it.
Sheila,そうだったの‥‥‥。ノーズさんって結構優しい人なのね。,In that case... I guess Nose is a good person after all.
Sheila,それでレイっていう人はどうするの？,So what is Ray going to do?
Cole,さすがにレイもいくら死霊になってしまったからって、まさか恋人を撃つ訳にはいかないし‥‥‥それで俺が２階の死霊を退治する事になったんだ。,"Ray's girlfriend is a zombie now, so he can't shoot her."
Sheila,そうだったの‥‥‥。,Is that so...
Cole,そういえばノーズがシーラの事を可愛いって誉めてたぜ。,"Speaking of, Nose said you were pretty cute."
Sheila,うふふ、コール妬いてるの？,"Hee hee, are you jealous, Cole?"
Sheila,見た目は恐い人ばかりだけど、みんな優しい人みたいね。,"They look like a suspicious bunch, but they're good people."
Cole,シーラ、勝手に死霊退治のメンバーに参加しちゃったけど、このまま逃げ回っていてもいつかは殺られてしまうと思ったからなんだよ。,"Sheila, I promised to exterminate the zombies. But I'll get killed if I do this too long."
Cole,それに見たところ、このホテルは防弾処理がしてあるから俺の部屋なんかよりずっと安全だし、仲間もいるしね。,This hotel's bulletproof glass makes it a lot safer than my apartment.
Sheila,うん、判ってるわ。だけど私が一番心配なのはコール、あなたなの。もしあなたの身に何かあったら私‥‥‥,"I understand. But I'm most worried about you, Cole. If something were to happen to you..."
