Nametag,Japanese,English
,女の悲鳴：きゃあああ！！,Woman's Voice: Kyaaaaaa!!!
,女の悲鳴：だ‥‥‥誰か！！　助けて！！\nCain: あっちだ！！,Woman's Voice: No! Someone! Help me!!!\nCain: Over there!
,女の子：ああー‥‥‥助けて！！,Woman: Ahhhhh!!! Help!
,女の子：いやあああ！！　放して！！,Woman: No! Let go!!!
,Man A: 何だ？　テメエは！　見せ物じゃねぇぞ、おとなしく向こうへ行ってろ！！,"Man A: What? Hey, you! It's not a show! Get the hell out of here!"
,女の子：きゃあああ！！！,Woman: Kyaaa!!!
,女の子：止めて！！　私の事を助けてくれたのは感謝しています。だけど、殺してしまうなんて‥‥‥。,Woman: Stop!!! Be careful! They'll kill you!!!
,"ケイン　２４歳　１３番地区でブラッディフォックスに殺害される
　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","CAIN    24 YEARS OLD    KILLED BY BLOODY FOX IN DISTRICT 13
                    GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","           NIGHTMARE COLLECTION
         Dead of the Brain
           GAME OVER {}"
,"ケイン　２４歳　１３番地区でブラッディフォックスに殺害される
　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","CAIN    24 YEARS OLD    KILLED BY BLOODY FOX IN DISTRICT 13
                    GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","           NIGHTMARE COLLECTION
         Dead of the Brain
           GAME OVER {}"
,Cain: ‥‥‥‥‥‥‥‥！！,Cain: ......!!!
,Cain: ん？　今の叫び声は‥‥‥？,Cain: Hmm? What was that yell just now?
,Cain: あっちだ！！,Cain: Over there!
,Man A: へっへっへ、そんなに騒いだって誰も来やしねぇよ。,Man A: No one's coming to help with all the chaos!!!
,Man B: 兄貴！　こいつ、もうグチョグチョですぜ。,Man B: Bro! This guy's acting all tough!
,Man A: 何だ？　テメエは！　見せ物じゃねぇぞ、おとなしく向こうへ行ってろ！！,"Man A: What? Hey, you! It's not a show! Get the hell out of here!"
,Cain: 真っ昼間からチンピラがえらい元気だな。,"Cain: If you want to live, let her go!"
,Man B: なんだと！？　誰に向かって口を利いているのか判っているのか！？,"Man B: What? What are you, a wiseass?"
