Nametag,Japanese,English
Cole,ん？　血痕がこの部屋で途切れてるようだぞ。,Hm? Looks like the blood stains stop in this room.
Cole,ん？　血痕がこの部屋で途切れてるようだぞ。,Hm? Looks like the blood stains stop in this room.
Cole,どこにでもあるような事務机だ。机には何ものっていないようだな。,An office desk that can be found anywhere. There seems to be nothing on the desk.
Cole,引き出しを調べてみると‥‥‥なんだ、この机には引き出しがついてないや。,Looking in the drawer... Nothing.
Cole,この机をこれ以上調べても何も出てこないな。,"No matter how many times I look, nothing appears in the drawer."
Cole,この棚も先程の廊下にあった棚と同じくガランとしていて、何ものっかっている様子はない。,These shelves are just like the ones in the hallway; nothing in them.
Cole,このホコリの付き方は、最近までこの棚は使われていたようだぞ。,"There's no dust here, looks like these shelves were used recently."
Cole,棚ばかり調べていても仕方がないな。,Something about looking on the shelves.
Cole,このロッカーを調べてみるか‥‥‥。,Let's look at this locker...
Cole,なんだ、何も入っていないようだな。せめて掃除道具でも入っていてほしかったよ。,I don't think there's anything in it. I wish there were a cleaning tool at least.
Cole,このロッカーは何度見ても中には何も入っていない。,This locker has nothing in it.
Cole,窓にはブラインドがかかっているな。窓が小さいからブラインドもそんなに大きくないようだ。,The windows have blinds on them. They're small blinds since they're small windows.
Cole,これ以上ブラインドなんて調べても仕方ないな。,I don't think anything's going to come of looking at the blinds.
Cole,仕方ない、廊下へ戻るか‥‥‥。,Oh well. Back to the hallway?
Cole,もう少しこの部屋を調べてみるか‥‥‥。,Let's check this room a little more...
,廊下に出る　<OR>キャンセル,Leave<OR>Cancel
