Nametag,Japanese,English
,女の子：私、シーラっていいます。危ないところを助けて頂いてありがとうございました。,Woman: I'm Sheila. Thank you for helping me out there.
Sheila,あなた、コールの事を知ってるんですか？,You know Cole?
Sheila,あっ、じゃあ、あなたがケインさん？　コールを助けてくれたそうですね。ありがとうございます‥‥‥。,Oh you're Cain? Thank you so much for helping Cole.
Sheila,コールはまだ寝てたから‥‥‥メモだけ置いて食べ物を探しにきたんです。,He was sleeping. I left a note that I went out to get supplies.
Sheila,ええ‥‥‥。,Yeah...
Sheila,あ、私そろそろ帰らないとコールが心配してるわ。,"Ah, I have to get back. Cole and the others will be worried about me."
Sheila,はい、１０時ですね。ちゃんと伝えておきます。,"Yes, 10 o'clock. I'll make sure to let him know,."
Sheila,ケインさん、くれぐれも気をつけてください。,"Cain, please be careful."
,Cain: えっ？　シーラ！？　たしかその名前を‥‥‥,Cain: Eh? Sheila? Are you the same Sheila...
,Cain: シーラって、もしかしてコールの‥‥‥？,"Cain: You don't know someone named Cole, do you?"
,Cain: 知ってるとも。昨日あのホテルでコールと会ったんだ。彼には色々と情報を提供してもらったからね。,"Cain: Yep, I met him yesterday at the hotel. He gave me some information about what's going on here."
,Cain: いや、そんなに大した事じゃないさ。でもどうしてこんな物騒な所に一人で？　コールとは一緒じゃなかったのか？,Cain: No need to thank me. But why are you alone in such a dangerous place? Where is Cole?
,Cain: そうか‥‥‥でも今度からコールも一緒の方がいいな。ブラッディフォックスの奴等もまだ何人か残っているだろうし‥‥‥。,"Cain: Gotcha. I think from now on, you shouldn't travel alone. There's a lot of Bloody Fox people still roaming the area."
,Cain: うん、それがいい。俺はもう少し調べなければいけない事があるから、後でホテルに行くよ。,"Cain: Good deal. I'll stop by the hotel later, but I have to investigate some more first."
,Cain: そうだな‥‥‥１０時頃にホテルの地下パーキングで待ち合わせるように、コールに伝えといてくれないか？,Cain: Can you tell Cole to meet me in the hotel parking garage at 10pm?
,Cain: ああ、それじゃ後で‥‥‥。,"Cain: Great. Later, then!"
