Nametag,Japanese,English
Cole,な、なんだ！？　一体何がどうしたっていうんだ！？,W-What the fuck's going on?!
Cole,こ、これも死霊達の仕業だっていうのか！？　ドク！！,"It's the zombies again, isn't it?! Doc!!"
Cooger,‥‥‥‥‥‥‥‥‥‥‥‥。,......
Cole,‥‥‥そういえば２階に明かりのついた窓があったな。誰か居るかもしれないから、ちょっと行ってくるよ。,"...By the way, there was a light on somewhere on the second floor. There's probably someone there. I'll go take a look."
Cooger,一人で行くのか？,Alone?
Cole,‥‥‥大丈夫さ。それよりさっきの銃を貸してくれないか？,...It's okay. Can you lend me your gun?
Cooger,拳銃か‥‥‥実はさっき全部撃ってしまったんだよ。銃も持たずに一人で行くのは危険だな。,"Oh... To tell you the truth, I used up all of the bullets. It's dangerous to go alone even if I give it to you."
Cole,でも、ここにいてもラチがあかないからな。大丈夫さ、二階の明かりを確かめに行くだけさ。,"But we won't make any progress if we just stay here. It's okay, I just want to see what that light is."
Sheila,危険よ、やめた方がいいわ。,"You shouldn't, it's dangerous."
Cole,平気さ。だけど、くれぐれもここから動かないようにな。何かあったら呼んでくれればすぐに戻るから。,I'll be fine. Don't go anywhere while I'm gone. If something happens just yell and I'll come down immediately.
Sheila,コール、気を付けてね。,"Be careful, Cole."
Cole,酷い殺され方だ‥‥‥警官でさえ太刀打ちできないなんて‥‥‥。,That's a terrible way to die... Not something even a police officer can handle...
Cole,ものすごい屍臭だ‥‥‥。ここにあまり長くいたら気分が悪くなりそうだ‥‥‥。,The rotting smell is unbearable... If we stay here long I'll end up sick...
Cole,どの警官の銃を見ても弾倉には弾の残っているものは１つもない。,There aren't any bullets remaining in any of these officers' guns.
Cole,みんな頭を見事に割られてるな‥‥‥。,Everyone's head is completely broken.
Cooger,もしかしたら奴等は元々が人間だったせいもあって、人間の弱点を知っているのかもしれないな。,"Perhaps because the zombies had been human before, they knew where a human's weak point is."
Cole,どうして人間を殺すんだ？　何か目的があるんじゃないか？,But why are they even killing? What are they after?
Cooger,目的は判らんが‥‥‥とにかくこうなってしまった以上、我々だけで何とかしないといけないな。,"I have no idea... but since it's come to this, we must do something."
Sheila,コール、まだ他に生存者がいるかもしれないわ。捜してみましょうよ。,"Cole, someone might still be alive here. Let's search for survivors."
Cole,そうだな。,You're right.
Cole,壁の至る所に弾痕がある。警官が撃ちまくったものだろう。,There are bullet marks in various places along the wall. It must've been quite a gunfight.
Cole,これだけ撃ったにも関らず死体の中に死霊が一体もないっていうのは、やっぱり不死身なんだろうか‥‥‥。,"They shot so much and yet there's not a single zombie among the bodies. Yeah, they sure are undead..."
Cole,あの血の跡から察すると、死霊の一人がそこの男を持ち上げて壁に叩き付けたように思える。並の人間にはできない技だな。,"From the look of the blood here, I think a zombie picked up this man and threw him against the wall. A normal man couldn't have possibly done that. "
Cole,生々しい血の跡を見ていると、その辺に死霊がまだ潜んでいるように思える。,The blood is fresh. There must be zombies still hiding nearby.
Cole,受付けの人も殺られている。おそらくこの人が一番最初に殺られてしまったのだろう。,The receptionist is dead. He must've been the first officer killed.
Cooger,これだけの警官が相手にしても駄目だったという事は、多分死霊は１人だけじゃないのかもしれないな。,"If so many officers were defeated, there must have been more than one zombie."
Cooger,さすがの警官も死霊には勝てなかったか‥‥‥？,"So, even the police couldn't defeat them...?"
Cole,電気が消えているな‥‥‥シーラ、電気のスイッチをつけてくれないか？\nSheila: ええ、判ったわ。,"The lights seem to be off. Sheila, can you hit the light switch?\nSheila: Got it."
Cole,‥‥‥どうした？,...What's wrong?
Sheila,それが‥‥‥電気がきていないみたいなの。,It... doesn't seem to be working.
Cole,電気もつかないか‥‥‥少し不安になるな。,So the light isn't working... That's a little unsettling.
Cole,ドク‥‥‥まさかこの警官、死霊になるなんて事はないよな？,"Doc... You don't think these officers will turn into zombies, do you?"
Cooger,恐らく大丈夫だ。みんな頭をやられているから脳はグチャグチャだ。脳が完全でないと生き返ったりはしない筈だろう。,It's probably fine. Everyone's head is broken so the brain's all over the place. If the brain isn't in one piece they shouldn't be able to revive.
Cole,もしもし‥‥‥\n警官：‥‥‥‥‥‥‥‥‥‥‥‥。,Hello...?
Cole,だめだ、完全に死んでるよ‥‥‥。,It's no use. They're completely dead.
Cole,もしもし‥‥‥もしもし‥‥‥\n警官：‥‥‥‥‥‥‥‥‥‥‥‥。,Hello...? Hello...?\nCop:.........
Cole,やっぱりだめみたいだ‥‥‥。,"Just as I thought, it's no use."
