Nametag,Japanese,English
Cole,シーラ‥‥‥。,Sheila...
Cole,大丈夫か‥‥‥おい、シーラ！！,Are you okay? ...Sheila!
Cole,大丈夫だ‥‥‥まだ息はある。たぶん気絶しているのだろう。,Are you okay? ... Still breathing. She's only unconscious.
Cole,可哀想に‥‥‥俺がもっとしっかりしていれば、こんな事にはならなかったのに‥‥‥。,"If only I'd gotten here faster, all this might not have happened."
Cole,シーラにまで恐い思いをさせてしまって‥‥‥許してくれ‥‥‥。,"Sheila, I'm sorry. I was so worried about you."
Cole,早く服を着せてやらないと、風邪をひいてしまうな‥‥‥。,"Put something on, you'll catch cold."
Cole,俺といたばっかりに、こんな目に遭うなんて‥‥‥シーラ、すまない。,I'm sorry this happened.
Sheila,ん‥‥‥コール‥‥‥‥。,Mm... Cole...?
Cole,シーラ、大丈夫か！？,"Sheila, are you okay?"
Sheila,ええ‥‥‥ここはどこ？\nCole: アシスト病院さ。,Yeah... Where are we?\nCole: Assist Hospital.
Sheila,でも私、どうして裸なの‥‥‥？\nCole: ここに服がある。さあ‥‥‥。,"But... where are my clothes?\nCole: Here, put this on."
Killer,安心しな‥‥‥。その女には指一本触れちゃいない‥‥‥。,Don't worry. I didn't lay a finger on her.
Cole,‥‥‥‥‥‥‥‥‥！！,....!
Killer,今更そんな物を向けたって、どっち道俺は死んじまうさ‥‥‥,It's too late for me... I'm a goner...
Cole,お‥‥‥お前、どうして‥‥‥！！,W- Why? Why did you do this?
Cole,シーラはもう少し寝かせてやった方がいいだろう。,"Sheila, just try to rest a little."
Cole,シーラ！！　大丈夫か！？,"Sheila, are you okay?"
Sheila,<IF>う‥‥‥うーん‥‥‥‥。<ELSE>うっ‥‥‥‥うーん‥‥‥‥。<ENDIF>,<IF>Uh... uhhhh....<ELSE>Uh... mmmm... <ENDIF>
Cole,<IF>目が覚めない‥‥‥。もう少し寝かせてやった方がいいかもしれないな。<ELSE>シーラ！！　俺だ、コールだ！！　目を覚ませ！！<ELSE>シーラ！！　目を覚ましてくれ！！<ENDIF>,"<IF>No response... I guess I should let her rest a little.<ELSE>Sheila, it's me, Cole! Wake up!<ELSE>Sheila! Wake up!<ENDIF>"
Cole,キールはグールに脅されていたんだ‥‥‥‥。家族を奪われ、キールの命まで握られて‥‥‥。,"Killer was threatened by Ghoul. Without his family, Ghoul decided to take advantage of his position to influence Killer."
Cole,キールの奴、これだけやられてもまだ生きていたとは‥‥‥。,Killer's guy wasn't even alive if he did this.
Cole,キールは完全にくたばっている。これもノーズのお陰だ‥‥‥。,Killer is totally out of it. Thanks to Nose.
Cole,ノーズがいなかったら、俺は今頃こいつに殺られていただろうな。,I wouldn't be alive if it weren't for Nose.
Cole,俺の銃弾は見事にキールの頭に命中した。もし外してたらと思うとゾッとするな‥‥‥。,My shot hit Killer right in the head. But he's not dead?
Killer,驚いたか‥‥‥？　これが蘇生薬の本当の力だ。,"Surprised? After all, this is the power of the resurrection drug!"
Cole,な、なんだって！？　お前、一度死んでいるのか！？,"Wait, what? You were dead?"
Killer,クーガーは蘇生にばかり気をとられていたようだな‥‥‥。あの薬は人間を蘇生するだけでなく、生きてる人間に永遠の命を与える事ができるのだ。,"Cooger was only concerned with the resurrection properties, but the drug can also give eternal life to humans!"
Cole,なに！？　ま、まさかお前自分で‥‥‥蘇生薬を‥‥‥！！,What? But... you gave yourself the resurrection drug?
Killer,この際だから教えてやろう。俺に薬を注入したのはグールなのさ。,"No, actually, I'll tell you. It was Ghoul who injected me with it!"
Cole,グールだと！？　彼はお前が殺したんじゃないのか！？,Ghoul?! You didn't kill him too?
Killer,奴は生きているよ。それに、俺が今までやってきた事は実は全てグールの指示なんだよ。,"On the contrary. In fact, I've been acting under his direction all along!"
Cole,どういう事だ！？,What!
Killer,クーガーの研究所付近で妙な事件がしばしば起こってたのは確かだ。クーガーの調査を担当した俺は学会へ忍び込み、奴の研究発表を聞いていた。お陰で記念写真まで撮られちまったがな。,"There were always strange incidients happening around Cooger's lab. Ghoul had me keep an eye on him. In fact, that photo of him at the conference? I was the one who took it!"
Killer,ところがクーガーの発表があまりにもバカバカしいと、出席していた科学者達は彼を口汚なく罵った。さすがにクーガーは怒ったね。,The other scientists didn't take him seriously. They thought a resurrection drug was ridiculous or impossible. Cooger was very angry about it!
