Nametag,Japanese,English
,"　　　コール　２４歳　アシスト病院にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","       Cole   24 Years Old   Died at Support Hospital

                   GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","        NIGHTMARE COLLECTION
            Dead of the Brain - Cry of the Living Dead
             GAME END {}"
,"　　　コール　２４歳　アシスト病院にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","       Cole   24 Years Old   Died at Support Hospital

                   GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","        NIGHTMARE COLLECTION
            Dead of the Brain - Cry of the Living Dead
             GAME END {}"
,"　　　コール　２４歳　アシスト病院にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","       Cole   24 Years Old   Died at Support Hospital

                   GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","        NIGHTMARE COLLECTION
            Dead of the Brain - Cry of the Living Dead
             GAME END {}"
Cole,ん！？　何だ！？,What the?
Cole,ノーズじゃないか！！　大丈夫か！？,Nose! Are you okay?
Cole,なに！？,What?
Killer,こ、コールじゃないか。お前ホテルで死んだ筈じゃ‥‥‥。,C-Cole! I thought you died at the hotel!
Cole,やはりお前の仕業だったのか‥‥‥。ドクの研究を盗み、こんな街にしたのも‥‥‥そして俺を殺そうとしたのも、全部お前のせいだったのか！！,"Was this all your doing? Stealing Doc's research, causing the outbreak, trying to kill me? Was it all you?!"
Killer,コール、そう興奮するなよ。たしかに俺はクーガーの薬を盗み出したさ。だが元を作ったのはクーガーだぜ？,"Why so upset, Cole? Yeah, I stole his research but he made the drug in the first place."
Killer,あのジジイがあんなモンを作らなきゃこういう結果にはならなかったさ。そうだろ？,"If this hadn't happened, Doc's research would've gone to waste. Isn't that right?"
Cole,ドクは発表しようとしてたんだぞ！！　人間の一番恐れる死をなくそうと、そういう研究だったんだ‥‥‥。,Doc was going to announce it! It was a study to defy death in humans!
Cole,ん！？　そこに寝ているのはシーラか！？　貴様シーラに何をしたんだ！？,"Wait, is that Sheila sleeping there? What are you doing to Sheila?"
Killer,何をしただと？　見ての通りだよ。こんなに若い女は久しぶりだよ。お前なんかより、ずっといいって悶えてたぜ。コール、お前が羨ましいよ‥‥‥。,"What did I do? Well, it's been a long time since I've seen such a beautiful woman. I'm jealous of you, Cole."
Cole,キール‥‥‥貴様だけは‥‥‥貴様だけは絶対この手でブチ殺してやる！！！,Killer... I'm going to tear you apart!
Killer,おっと、動くな。俺はこれでもデカだからな、お前の額に鉛を撃ち込む事なんて目をつぶってでもできるさ。,"I wouldn't move if I were you. I got this nickname because I'm really good with guns, after all."
Cole,下のレイとサリーもお前の仕業なのか！？,"Downstairs, you killed Ray and Sally too."
Killer,ああ、そうだ。そこのデクノボウが時間より早く来たからな。奴等は予定より早く眠ってもらったって訳だ。,"Yeah. Those idiots came sooner than expected, so I had to get rid of them."
Killer,どうせメンバーの皆さんはここで死んでしまうがな。キャッシーのガキも、あのホテルの爆発でくたばっただろうし‥‥‥。,That should be all the survivors at the hotel. Even Cathy. She died in the explosion.
Killer,フンッ、奴も俺が殺したさ。今頃は魚の餌にでもなっているだろう。クックックッ、いいザマだぜ‥‥‥。,"I killed them all! By now, Cain will be fish food. Hehehe, it's a good thing, Cole."
Cole,アンタはノーズに助けられた事もあるんだろ！？　それなのに、どうして命の恩人に銃を向けたりするんだ！？　普通、そんな事ができる訳ないだろ！？,And Nose helped you? I can't believe it.
Cole,ノーズ！！！,Nose!!!
Cole,ノーズ‥‥‥！！\nNose: 早くしろ！！！,"Nose...!!!\nNose: Cole, quickly!"
Killer,フッ‥‥‥笑わせるぜ。\n,"Ha, don't make me laugh.\n"
Cole,うわあああああ！！,Uwaaaaa!!!
Killer,フッ‥‥‥笑わせるぜ。\n,"Ha, don't make me laugh.\n"
Cole,うわあああああ！！,Uwaaaaa!!!
Killer,フッ‥‥‥笑わせるぜ。\n,"Ha, don't make me laugh.\n"
Cole,うわあああああ！！,Uwaaaaa!!!
Killer,ぐあああああっ！！！,Gahhhhhh!!!!
Cole,ノーズ！！　大丈夫か！？,Nose! Are you okay?
Cole,ノーズ！！　そんな事どうだっていいよ！！　しっかりしろよ！！,Nose! It doesn't matter! Do it!
Cole,なあ、ノーズ。頼むよ‥‥‥しっかりしてくれよ！！,Nose... you can count on me. I'll do it.
Cole,うん、何だって食わせるよ！！　だから、ノーズ‥‥‥,"Nose, I'll get a big buffet in your honor! Count on it!"
Cole,ノ‥‥ノーズ‥‥死んだふりなんてするなよ‥‥‥お前がこんな事ぐらいで死ぬ訳がないだろう‥‥なぁ‥‥返事しろよ‥‥‥ノーズ‥‥‥いい加減にしないと‥‥俺だって怒るぜ‥‥‥,"Nose... don't die... Argh, I can't stand this!"
Cole,俺がそんな‥‥‥手に‥ひっかかるとでも‥‥思っているのか？　なぁ‥‥‥ノー‥‥,Don't die here... Nose!
Cole,起きろよ！！！　ノーズ！！！　頼むから起きてくれよ！！！,"Nose, wake up! Nose!!!"
,Nose: コール！！　あ、あいつが‥‥‥！！,Nose: Cole! It's-...!!
,Nose: ボスはどうした！？,Nose: What happened to the boss?
,Nose: ‥‥‥‥‥‥いいんだよ、コール。,"Nose: ...Okay, Cole."
,Nose: 俺も最近ストレスが溜まってよう、こういう奴を見ているとハラワタが煮えくり返ってくるんだよ。,Nose: I've been getting stressed recently and now I'm determined.
,Nose: キール、テメエだけは地獄に送ってやるぜ！！！\n,
,Nose: コール！！　今だ、奴を‥‥‥奴を撃て！！！,"Nose: Cole, now! Shoot him!"
,Nose: 早くしろ！！！,Nose: Quickly!
,Nose: コール‥‥　‥これで‥　‥‥お前の借りは帳消しだぜ‥‥‥。,Nose: Cole... that's it... I've cancelled your debt.
,Nose: マッドフードの‥　‥‥ステーキぐらいおごれよ‥な‥‥‥‥‥ウェルダンで‥‥‥焦げめがつくまで‥‥焼いて‥よ‥‥　それから‥‥‥,Nose: Heaven is like a big steak... and I'm going to eat it!
,Nose: でっかい‥‥シュリンプも食いてえ‥‥‥マスタード‥いっぱいつけて‥‥　よ‥‥‥,Nose: With a lot of mustard and some big shrimp on the top!
,Nose: そうだ‥‥　‥シーラも‥呼んでくれ‥‥よな‥‥　‥‥俺　‥かっこよく決めて‥‥いくか‥　‥ら‥‥‥‥‥‥‥‥‥。,Nose: Tell... Sheila... to call... sometime...!
,Nose: ‥　‥‥‥　‥‥‥‥‥‥‥‥‥‥。,Nose: ...
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,俺がいくら呼んでもノーズは返事をしなかった<EMDASH><EMDASH><EMDASH>。,"No matter how much I yelled to him, Nose wouldn't respond---"
,ノーズとビッグドッグを食べる約束を楽しみにしていた俺だったが、それも今となっては叶わぬ夢であった<EMDASH><EMDASH><EMDASH>。,I was looking forward to eating a Golden Palace Big Dog with Nose but that dream would never be---
,ノーズは最初から自分の身を犠牲にして、俺を助けるつもりだったのだ<EMDASH><EMDASH><EMDASH>。,"Nose was going to help me at his own risk, even from the start---"
,あの時、ノーズはキールを撃たなかった。不審に思った俺はノーズの銃を調べてみた。弾倉には一発の弾丸も入っていなかった<EMDASH><EMDASH><EMDASH>。,"When the time came, Nose didn't even fire a shot at Killer. When I looked, his magazine was completely empty---"
,彼は人一倍優しい心の持ち主だった。俺もそんなノーズが大好きだった<EMDASH><EMDASH><EMDASH>。,He was a good guy underneath everything. I really liked him--
