Nametag,Japanese,English
Cole,ハアハア‥‥‥ここが１６分署だ、結構遠かったな。,*Pant* *Pant*... This is the 16th precinct. It was pretty far away.
Sheila,昼間と違ってなんだか寂しいわ。,It feels... lonely. So different than during the day.
Cole,２階建のなかなか大きな警察署だ。俺がこんな所に来るなんて考えても見なかったが‥‥‥。,It's a relatively large 2 floor police station. I've never imagined I'd have to go to a place like this...
Cole,きっと、さっきドクの家に来たジャックという警官もここの所属なのだろう。,This must be the police station where Jack's stationed...
Cole,まさかこんな形で警察の厄介になるとは思わなかったな。,I'd never thought I'd have to come to the police for this reason.
Cole,こんな所で油を売っている訳にもいかないな。さっさと中へ入ろう。,We can't just idle here forever. Let's go inside.
Cole,警察署の２階には電気がついている所があるな。多分、宿直の人が何人かでポーカーゲームでもしているんだろう。,There's a room on the second floor where the light's on. The officers on night duty are probably playing poker or something.
Cole,ここに間違いないな。ちゃんと１６分署と書いてある。,"Yeah, there's no doubt. It says this is the 16th precinct right here."
Cole,薄汚れた文字を見ると、この建物は造られて３０年以上は経っている事が判る。,"The small print is dirty, but it says the station was build more than 30 years ago."
Cole,ここに連れてこられた犯罪者は、この文字を見てどう思ったのだろうか‥‥‥。<TEST ><TEST >,I wonder what goes through suspects' minds when they see this sign as they're brought in.
Cole,入り口がこの広さだと、中も相当広い造りになっているのだろう。,This entrance is spaceous. It must be pretty large inside too.
Cole,車が邪魔をしていてハッキリ見えないな。,The car's in the way so I can't see it too well.
Cole,この車は１６分署のパトだろう。誰も乗っていないようだ。,This is a 16th precing patrol car. There's no one in it.
Cole,こんなパトをいつまでも眺めている訳にもいかない。,There's no reason to stare at this patrol car so much.
Cole,あのゴミ箱はよく浮浪者にあさられている事がある。食べ物は殆ど入っていない警察のゴミ箱なのに、どうして浮浪者がたかるのか疑問だが‥‥‥,"I sometimes see homeless people around this garbage can. It's a police station, so there probably isn't much leftover food in there -- I wonder why they always gather there.."
Cooger,シュレッダーで刻まれた重要書類を組み合わせてマフィアに売るそうだよ。まったく気が遠くなる話だな。,Seems like they're searching for shredded police documents to sell to the mafia. It's a pretty frightening story.
Cooger,コール、そんな物をいつまでも見てる暇はないぞ。,"Cole, we don't have time to look at this."
Cole,とにかく話してみようぜ、警察だってきっと判ってくれるさ。,"Anyway, let's try talking to the police. I'm sure they'll understand."
Cooger,うん‥‥‥そうだな。,Yes... You're right.
Cole,とにかく話してみようぜ、警察だってきっと判ってくれるさ。,"Anyway, let's try talking to the police. I'm sure they'll understand."
Cooger,うん‥‥‥そうだな。,Yes... You're right.
Cole,とにかく話してみようぜ、警察だってきっと判ってくれるさ。,"Anyway, let's try talking to the police. I'm sure they'll understand."
Cooger,うん‥‥‥そうだな。,Yes... You're right.
Cole,とにかく話してみようぜ、警察だってきっと判ってくれるさ。,"Anyway, let's try talking to the police. I'm sure they'll understand."
Cooger,うん‥‥‥そうだな。,Yes... You're right.
