Nametag,Japanese,English
Cole,ここはフロントか。少し暗いけど、照明がついてるって事は誰かいるって事だろう。,"Is this the lobby? It's a little dark, but I see some light."
,"コール：うわああああああああああああっ！！！
シーラ：きゃああああああああああああっ！！！",
Cole,うっうわあああ！！！\nCooger: なっ、なんて諦めの悪い奴なんだ‥‥‥。,Cole: Uwaaaa!!!\nCooger: S-So horrible!
Cooger,とにかく先に外へ行っててくれんか。わしは上の階を調べて後から行くよ。\nSheila: そんな‥‥‥危険よ！！,You go on without me. I'll catch up after I check the third floor.\nSheila: That's dangerous!!!
Cole,ここはフロントか。少し暗いけど、照明がついてるって事は誰かいるって事だろう。,"Is this the lobby? It's a little dark, but I see some light."
Cole,俺達が今入ってきたドアだ。出る時は暗証を入力しなくても出られるようだ。,It's the door we entered. It seems that you can get out without entering your password.
Cole,あのドアについているのは防弾ガラスだ。暗証を知らなかったら絶対に入る事ができなかったな‥‥‥。,That door is bulletproof glass. We'd never have gotten in without the apssword.
Cole,このホテルに使われているガラスは殆ど防弾のようだな。外部からの侵入はまず不可能だ。,Looks like bulletproof glass. Intrusion from the outside is next to impossible.
Cole,大きな柱が目の前に立っている。どこのホテルでも必ず目にするものだな。,There's a big pillar here. You always see pillars like this in nice hotels.
Sheila,コール、何を見ているの？,"Cole, what are you looking at?"
Cole,いや、あの柱が気になってね‥‥‥。,I'm just really into this pillar.
Cole,何の細工もしていない、ただの柱だ。,It's just a pillar without any craftsmanship.
Cole,あそこにあるのはエレベーターか。ドアが開いた途端に死霊がゾロゾロ出てくるなんてゴメンだな。,Is that an elevator? I hope a throng of zombies doesn't burst out when the door opens.
Cooger,うん？　このエレベーターはボタンを押しても作動しないみたいだな。,Hm? The elevator button's not lighting up.
Sheila,まだ上の方の階が出来ていないから使えないのかもしれないわね。,Maybe it doesn't work because the upper floors are still under construction?
Cole,エレベーターが使えないとなると階段で行くしかないのか‥‥‥。まさか階段まで出来てないなんていうんじゃないだろうな。,"If you can't use the elevator, you have to go up the stairs ... I don't think I can't even reach the stairs."
Cooger,階段ならエレベーターの右の方にあったよ。,There's an elevator to the right of the stairs.
Cole,エレベーターの方が楽だったのにな。,The elevator is easier.
Sheila,文句を言わないの。,Don't complain.
Cole,フロントのテーブルだ。一般の利用ができないのにフロントがあるのは変だな？,The front desk. It's strange to have one since the hotel doesn't seem like it's open to the public.
Cooger,いつかは一般に開放される事を予測して建てたんじゃないのかね。\nCole: なるほど、結構考えてるんだな。,"They probably built it for when the hotel is open to the public.\nCole: Oh, duh."
Cole,テーブルには端末が置いてあるな。,There is a terminal on the table.
Cole,２階と３階か‥‥‥この建物から見て２つの階を使うとなると、かなり大勢いそうだな。,2nd or 3rd floor... but it looks like the hotel has a lot more floors than that.
Sheila,早くみんなに会いに行きましょうよ。きっとテリーもいるわ。,Let's go see everyone! I'm sure Terry is here.
Cole,‥‥‥テリーは居なくていいよ。,Terry...
Cole,暗くて何も見えないな‥‥‥ドク、足元に気を付けろよ。,"It's dark and I can't see anything ... Doc, watch your step."
Cooger,大丈夫だよ、そんなに気をつかわんでいい。,"I'm fine, watch yours as well."
Cole,段がない‥‥‥２階の踊り場かな？\nSheila: ここにドアがあるわ、ここから入れそうよ。,"I don't feel feel a step... is this the second floor landing?\nSheila: There's a door here, let's go in."
Cooger,何だか中が騒がしいな‥‥‥。\nCole: よし、開けるぞ。,"I hear something on the otehr side.\nCole: Okay, let's open it."
Cooger,いかん！　ドアを！！,Ah!!! The door!
Sheila,‥‥‥きっとこのホテルに避難した人達も殺られてしまったんだわ。,All the people who took refuge here were also killed!
Cole,ドク、こんな危険な所にいつまでもいる訳にいかないよ。早く外へ出た方がいい。,"Doc, we can't stay here in such a dangerous place. Let's get out of here."
Cooger,あと３階が残っているよ。そこを調べてみてからだ。,There's still the third floor. We should make sure.
Cole,３階もここと一緒だよ！　シーラの言ったように、ここに避難した人はみんな死霊に喰われてしまったんだ！,"The third floor?! Doc, like Sheila said, everyone who took refuge here was killed."
Cole,うっうわあああ！！！\nCooger: なっ、なんて諦めの悪い奴なんだ‥‥‥。,Cole: Uwaaaa!!!\nCooger: S-So horrible!
Cooger,とにかく先に外へ行っててくれんか。わしは上の階を調べて後から行くよ。\nSheila: そんな‥‥‥危険よ！！,You go on without me. I'll catch up after I check the third floor.\nSheila: That's dangerous!!!
Cole,‥‥‥判った。じゃ俺達も行くよ。ドクを一人で行かせる訳にはいかないからな。,...Okay. I can't let you go alone. We'll all check out the third floor.
Cooger,死霊がいたらすぐに逃げ出そう。わしが先頭になるよ。,"If we see even one zombie, we'll get out of here immediately."
Sheila,この端末にはホテルの利用状況が表示されているわ。\nCole: 利用状況か‥‥‥なら、このホテルで今使われてる部屋が判るのか？,The terminal shows what rooms are available.\nCole: Oh? How does that work?
Cooger,うむ、２階と３階が点滅してるって事はこの２つの階が使われているようだな。,"Well, the second and third floors are lit up, so I believe they are available."
