Nametag,Japanese,English
,"　　　　　　　　ダンダン‥‥ダンダンダン‥‥‥
Sheila: コール、助けて！！　お願い、開けて！！","       *bang bang bang*\nSheila: Cole, please! Open the door!"
Cole,‥‥‥‥‥‥‥‥‥‥‥‥‥‥。\nあれ？　‥‥‥‥‥？,..........\n Hm? .......?
Cole,‥‥‥‥‥‥‥‥‥‥‥‥‥‥。\n変だな　‥‥‥‥‥？,..........\nStrange.....?
,トゥルルル‥‥‥‥トゥルルルル‥‥‥‥,Ring ring... ring ring...
,只今、大変混雑しておりますのでお掛け直しください。,We're sorry. All lines are busy now. Please try your call again later.
,トゥルルル‥‥‥‥トゥルルルル‥‥‥‥,Ring ring... ring ring...
,只今、大変混雑しておりますのでお掛け直しください。,We're sorry. All lines are busy now. Please try your call again later.
Cole,ドク、どうすんのさ！？　こんな事になっちまって、一体どうすりゃいいんだよ！,"Doc, what are we going to do?! They don't teach you how to handle this stuff at school!"
Cole,俺達はこのままずうっとあんなおぞましい警官ゾンビに追い回され続けるのか！？,Are we just going to keep getting chased by this creepy zombie policeman?
Cooger,コール、落ち着いてくれ。,"Cole, calm down."
Cole,見たかよあの警官の姿、この世のものとは思えないよ！　ドク、一体どうするつもりなんだい！？,"You've seen this guy, it's like he's not even human! What are you planning to do?"
Cooger,落ち着いてわしの話を聞いてくれよ！　あの蘇生薬は、あくまでも試作品なんだよ。ジャックが蘇生している時間にも限りがある。そんなに長い時間じゃないと思うんだ。,Just listen calmly to what I have to say! The resurrecting drug is still in the experimental stage. There's a limit to how long Jack can stay resurrected. I don't think it's going to take long.
Cooger,効果が切れた頃になったらジャックの亡骸を探しに行くよ。多分どこかで２度目の死を迎えているだろう。彼の死体を‥‥‥,"When the effect runs out, we'll go looking for his body. He's probably out there somewhere, nearing a second death. We'll take his body, and..."
Cooger,ジャックの死体を見つけたら‥‥‥自首するしかないだろう。,When we find his body... We'll have to surrender ourselves.
Cole,自首って‥‥‥警察に捕まったら死刑になっちゃうんでしょ！？,"Surrender...? But if the police catches us we'll get the death penalty for sure, won't we?!"
Cooger,このままジャックを放っておいても、警察にはいずれ見つかってしまうさ。決定された未来の事を悩んでもしかたがないよ。,"If we just leave him like this, the police is going to find him sooner or later. There's no use worrying about what we cannot change."
Cole,そうさ、死刑の事なんかもう悩んじゃいないさ！　それよりも、俺に残された短い人生がドクと一緒だったって事が悔やまれて居ても立ってもいられねえよ！,"You're right, I'm no longer worried about the death penalty! I'm more worried that I'll have to spend the rest of my short life with you, Doc!"
Cooger,いや、そんな事よりも、もっと困った事が起こりうる可能性があるんだ。,"No, even worse than that, there's a much more worrying possibilty ahead of us."
Cooger,まずいな‥‥‥早めに手を打たないと大変な事になりうるぞ。,It's terrible... If we don't do something soon something terrible is going to happen.
