Nametag,Japanese,English
,グゥワァアアアア！！　ガアアアアアア‥‥‥！！\nCole: うっうわああああああ！！！　しっ、死霊だあああああ！！！,Guaaaaaaaa!!! Guaaaaaaaa!!!\nCole: Uwaaaaaaa!!! Z-ZOMBIE!!!
,ガァアアアアアア！！！\nCole: うわあああああ！！,GAHHHHHHH!!!!\nCole: AHHHHHHHHH!!!
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","COLE, 24 YEARS OLD, DIED AT 16TH PRECINCT\n\n GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～　　　　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","         NIGHTMARE COLLECTION
   Dead of the Brain - Cry of the Living Dead                        GAME OVER {}"
,ガァアアアアアア！！！\nCole: うわあああああ！！,GAHHHHHHH!!!!\nCole: AHHHHHHHHH!!!
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","COLE, 24 YEARS OLD, DIED AT 16TH PRECINCT\n\n GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～　　　　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝","         NIGHTMARE COLLECTION
   Dead of the Brain - Cry of the Living Dead                        GAME OVER {}"
,グゥワァアアアア！！！\nCole: うわっ、死霊の体液が！！,Guaaaaaaa!!!\nCole: Ugh! Zombie juice!
,ガァアアアアアア！！！\nCole: くそっ‥‥‥ここじゃなかったの‥‥‥か‥‥‥‥‥‥,GAAAAAAA!!!!\nCole: Sh-shit! N-not... here....
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ","COLE, 24 YEARS OLD, DIED AT 16TH PRECINCT\n\n GAME OVER"
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～　　　　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝<ENDIF>","         NIGHTMARE COLLECTION
   Dead of the Brain - Cry of the Living Dead                        GAME OVER {} <ENDIF>"
,コール：死霊は頭から脳ミソを出してるぞ！！　早く何とかしないと！！,Cole: The zombie has brains coming out of its head. I have to do something fast!
,コール：蘇生薬は脳を蘇らせるものだから、こいつの脳を何とか破壊すれば‥‥‥。,Cole: The drug resuscitates the brain. If I can destroy it...
,コール：ダメだ！！　手が届かない！！　は、はやく何とかしないと！！,"Cole: It's no good, I can't reach! I- I gotta do something!"
,コール：脳を破壊したいが手が届かない！！　なんとかしないと！！,Cole: I want to destroy its brain but I can't reach it! I have to do something!
,コール：死霊の口だ！！　人間なら舌を抜くことができるが、こいつにそんな事をしても効くとは思えない！！　はやく何とかしないと！！,"Cole: It's the zombie's mouth! If it were human I could pull out its tongue, but I don't think that would work!"
,コール：口を見てても何も埒があかない！！　早くしないと殺られてしまう！！,Cole: I can't shake his hand right now! I need to act fast!!!
,コール：こんな時に握手する訳にもいかないだろう！！　はやく何とかしないと！！,Cole: He's wearing a cop uniform! I have to do something quickly!
,コール：死霊の手を見ていても仕方がない！！　殺られる前に手を打たないと！！,Cole: His dead eyes are watching me. I have to do something quickly!!
,コール：死霊は警官の制服を着ている！！　はやく何とかしないと！！,Cole: I don't think I can reason with it! Look at its dead eyes! I have to act fast!!!
,コール：死霊の着ている物をチェックしていても埒があかない！！モタモタしていると喰われてしまう！！,Cole: Who cares what he's wearing! He's gonna eat me!!!
,コール：死霊の目は俺を見ている！！　早く何とかしないと殺られちまう！！,Cole: His dead eyes are watching me. I have to do something quickly!!
,コール：心が通じ合えるとは思えないし、いくらこいつの目をみてても埒があかないぜ！！　早くしないと！！,Cole: I don't think I can talk to him and his eyes are dead but determined. I've got to hurry!
,コール：まてよ‥‥こいつ‥‥もしかしたら目で物を見ているのか！？　もしそうだとしたら‥‥‥とにかく考えてる暇はない、一発勝負だ！！,Cole: Wait... his eyes... maybe that's my only chance. I've got one shot at this!
Cole,ん！？　今何か後ろで物音が‥‥‥。,Hm? What's that sound behind...
Cole,うっうわああああああ！！！　しっ、死霊だあああああ！！！,Uwaaaaaaaa!!!! Z-Zombie!!!!
Cole,し、しまった！！　壁に追い詰められて逃げる事ができない！！,Oh no! I'm trapped between it and the wall!
Cole,うわあああああ！！,Uwaaaaaa!!
Cole,うわあああああ！！,Uwaaaaaa!!
Cole,うわっ、死霊の体液が！！,Ugh! Zombie juice!
Cole,と、とにかく早く逃げよう！！,"Anyway, gotta get out of here fast!"
Cole,くそっ‥‥‥ここじゃなかったの‥‥‥か‥‥‥‥‥‥,Shit... not here...
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
