Nametag,Japanese,English
Cole,ああ、キャッシーのお陰だよ。ありがとう‥‥‥。,All thanks to Cathy. Thank you...
Cole,なに、気絶しているだけさ。キャッシー、でもどうして‥‥‥！？,"I almost died there. But, Cathy, why?"
Cole,ホテルは爆発していたと‥‥‥。,The hotel exploded.
Cole,そうか‥‥‥ケインが‥‥‥。,Well... Cain...
Cole,そうだ、彼らを助けださないと‥‥‥,Well. I have to help them.
Cole,そうか、すまない。,I'm sorry.
Cole,奴は特別だよ、でも彼が一番人間をよく知っていたんじゃないかな。俺はそう思うけどね。,"He's special, but he understood humans, I think."
Cole,さて、街の人達が待ってる。行こうぜ。,"Well, people in the city are waiting. Let's go."
Cole,な、なんだ！？,W- what?!
Cole,なに！？,What?!
Cole,グール！！　あいつ‥‥‥まだ生きていやがったか！！,Ghoul!!! He's... still alive!!!
Cole,キャッシー、大丈夫か！？,"Cathy, you okay?"
Cole,はっ！！,Ah!!!
Cole,キャッシー、逃げるぞ！！,"Cathy, get away from him!"
Cole,くっそおおおおお！！！,Shiiiiiiiiiiit!
Cole,き‥‥‥効かない！？,It... doesn't work?
Cole,クッ‥‥‥！！,Damn...!!
Cole,ぐあああああっ！！！,Guaaaaaa!!!
Cole,こ‥‥殺され‥‥る‥‥‥！！,I'm... gonna die...!!!!
Cole,キャッシー‥‥‥に、逃げろ‥‥‥　このままだと‥‥‥二人とも‥‥‥,Cathy... get away! If you don't... you'll both die!
Cole,‥‥‥ぐあああああ！！,...Guaaaaaa!!!
Cole,は‥‥‥はやく‥‥‥クッ‥‥‥,H-Hurry!
Cole,‥‥‥に‥‥げろ‥‥‥！！！,Get... away...!!!
Cole,くっ‥‥‥呼吸が‥‥‥,Is she breathing?
Cole,キャッシー！！！！,Cathy!!!
Cole,‥‥‥‥ん！？,Hm?
Cole,グールの手が緩んでいる！！　逃げるなら今しかない！！,"Ghoul's hands are loose! If you're going to run, now's the time!"
Cole,どっちへ逃げる！？　考えている暇はないぞ！！,"Which way to escape? No time to think about it, just pick one!"
Cole,どっちだって構わない！！　思った方に逃げるんだ！！<OR><LAST 0>Cole: 右だ！！<ELSE><LAST 1>Cole: 左だ！！<ENDIF>,It doesn't matter! Go to whichever!<OR><LAST 0>Cole: Left!<ELSE><LAST 1>Cole: Right!<ENDIF>
Cole,キャッシー！！　離れろ！！　逃げるんだ！！,Cathy! Get away! Run!
Cole,他に方法があるよ！！　だから‥‥‥,There's another way!
Cole,なに？　キャッシー、聞こえないよ！！　早くそいつから離れろ！！,What?! I can't hear you! Get away from him!!!
Cole,お前まで死んじまったら、俺は‥‥‥,"If you die, I'll..."
Cole,女に助けてもらうなんて最低だよ！！　次々に仲間が死に、いつも助けてもらっていた俺だ！！　最後ぐらいは男になってやるよ！！,"I can't believe I needed a woman to rescue me. All my friends died saving me. But now, at the end, I'll be a man!"
Cole,だけど！！,Wait!
Cole,キャッシー！！,Cathy!!!
Cole,キャッシー！！　そんな‥‥‥‥！！,"Cathy, that...!!!"
Cole,キャッシー！！！,Cathy!!!!!
Cole,キャッシー‥‥‥‥‥‥,Cathy...
,Cathy: コール、大丈夫！？,"Cathy: Cole, you ok?"
,Cathy: コール、シーラさんが‥‥‥！！,"Cathy: Cole, Sheila..."
,Cathy: わたしも病院に行こうかと思ったけど道に迷ってしまって、それでホテルに戻ってみたら‥‥‥。,"Cathy: I thought I'd go to the hospital after everyone, but I got lost so I went back to the hotel."
,Cathy: ‥‥‥そう。ホテルに戻る途中でケインていう人がコールさんに伝えてくれって、ここの場所を教えてもらったの。,"Cathy: On the way back, I ran into someone named Cain who told me you were here and where to go."
