Nametag,Japanese,English
Cole,いいんだよ、それにビッグドッグも食えるしね。,It's okay. I'm looking forward to that big dog meal.
Cole,何度見てもノーズの迫力には凄味があるなぁ‥‥‥。髪の毛が無いから恐く見えるんだよな、もしロングヘアーにでもしたら‥‥‥,"I can't get over how big Nose is. With hair or without, he just towers over me."
Cole,ノーズって見掛けは恐いけど中身はいい奴なんだよな。俺もこんな人と知り合いになれて心強いな。,Nose looks scary but he's a good person inside. I'm glad to know such a good guy.
Cole,こらっ！　勝手に解釈するなっ！,Whoa! Don't misunderstand me!
Cole,すごい筋肉質だな‥‥‥俺も最近また鍛え始めたけど、ここまではどう足掻いたって無理だろうな。,His muscles are amazing. I've done weight lifting before but I can't imagine ever getting that big.
Cole,見た感じ２メートルは超えているか‥‥‥俺とは２０センチ以上も違うんだよな。こんな巨体でラグビーでもやったら一躍有名になれそうだな。,"Looks like he's over six feet. He's got a head on me, easily. If he were a football player, he'd be famous."
Cole,これだけの身体だったら死霊がいくら来ても恐くないだろうな。,"With a body like that, I bet he's not scared no matter how many zombies he faces."
Cole,ノーズは<IF 7>昔、軍にいたって聞いたけど‥‥‥？,"Nose, I heard you were in the army a long time ago?<IF 7>I heard you were in the army a long time ago?"
Cole,なるほど‥‥‥それでそんなに体格がいいのか。,I see... Is that good?
Cole,俺はただの建設屋さ。でも日に日に塗装屋に変わってきてるけど‥‥‥。,I work in construction. But it's turning into a paint shop more and more every day.
Cole,もっとも、重い材料を毎日運んでいるからね、少しは筋肉がついてくるみたいだな。,"But, I carry heavy materials so I get a bit of a workout from it."
Cole,はははは、当たり前だって。,"Haha, naturally."
Cole,ノーズから見たメンバーの皆はどんな感じ？,"From what you can see, what do you think of the other members of the group?"
Cole,グールは？,Ghoul?
Cole,そうか‥‥‥サリーは結構重要な仕事を任せられているんだな‥‥‥。,"Yeah, Sally's been entrusted with a very important job."
Cole,キールは一度ノーズに助けられた事があるって言ってたよ。,Killer said that he helped you once.
Cole,ノーズから見たキールはどんな感じ？,"Nose, what do you think about Killer?"
,Nose: コール、昨日は変な事頼んじゃって悪かったな。,"Nose: Cole, about yesterday. It was a lot to ask..."
,Nose: こいつ、まだ覚えていやがったな。,Nose: I didn't forget!
,Nose: どうしたんだ、コール。まだ俺に話があるのか？,Nose: Something wrong? Are you talking to me?
,Nose: コール、何を一人で笑っているんだ？,"Nose: Cole, you're all alone but you don't seem sad."
